Original,Replacment,Validity
Ice jam flood \(minor,Flood,YES
TORNADO,Tornado,YES
TSTM WIND,Thunderstorm Wind,YES
HAIL,Hail,YES
ICE STORM/FLASH FLOOD,Ice Storm,YES
WINTER STORM,Winter Storm,YES
HURRICANE OPAL/HIGH WINDS,Hurricane (Typhoon),YES
THUNDERSTORM WINDS,Thunderstorm Wind,YES
HURRICANE ERIN,Hurricane (Typhoon),YES
HURRICANE OPAL,Hurricane (Typhoon),YES
HEAVY RAIN,Heavy Rain,YES
LIGHTNING,Lightining,YES
THUNDERSTORM WIND,Thunderstorm Wind,YES
DENSE FOG,Dense Fog,YES
RIP CURRENT,Rip Current,YES
THUNDERSTORM WINS,Thunderstorm Wind,YES
FLASH FLOODING,Flash Flood,YES
FLASH FLOOD,Flash Flood,YES
TORNADO F0,Tornado,YES
THUNDERSTORM WINDS LIGHTNING,Thunderstorm Wind,YES
THUNDERSTORM WINDS/HAIL,Thunderstorm Wind,YES
HEAT,Heat,YES
HIGH WINDS,High Wind,YES
WIND,High Wind,YES
HEAVY RAINS,Heavy Rain,YES
LIGHTNING AND HEAVY RAIN,Lightining,YES
THUNDERSTORM WINDS HAIL,Thunderstorm Wind,YES
COLD,Cold/Wind Chill,YES
HEAVY RAIN/LIGHTNING,Heavy Rain,YES
FLASH FLOODING/THUNDERSTORM WI,Flash Flood,YES
FLOODING,Flood,YES
WATERSPOUT,Waterspout,YES
EXTREME COLD,Extreme Cold/Wind Chill,YES
LIGHTNING/HEAVY RAIN,Lightining,YES
BREAKUP FLOODING,Flood,YES
HIGH WIND,High Wind,YES
FREEZE,Frost/Freeze,YES
RIVER FLOOD,Flood,YES
HIGH WINDS HEAVY RAINS,High Wind,YES
AVALANCHE,Avalanche,YES
MARINE MISHAP,MARINE MISHAP,Invalid
HIGH TIDES,High Surf,YES
HIGH WIND/SEAS,High Surf,YES
HIGH WINDS/HEAVY RAIN,High Wind,YES
HIGH SEAS,High Surf,YES
COASTAL FLOOD,Coastal Flood,YES
SEVERE TURBULENCE,High Wind,YES
RECORD RAINFALL,Heavy Rain,YES
HEAVY SNOW,Heavy Snow,YES
HEAVY SNOW/WIND,Heavy Snow,YES
DUST STORM,Dust Storm,YES
FLOOD,Flood,YES
APACHE COUNTY,APACHE COUNTY,Invalid
SLEET,Sleet,YES
DUST DEVIL,Dust Devil,YES
ICE STORM,Ice Storm,YES
EXCESSIVE HEAT,Excessive Heat,YES
THUNDERSTORM WINDS/FUNNEL CLOU,Thunderstorm Wind,YES
GUSTY WINDS,High Wind,YES
FLOODING/HEAVY RAIN,Flood,YES
HEAVY SURF COASTAL FLOODING,Coastal Flood,YES
HIGH SURF,High Surf,YES
WILD FIRES,Wildfire,YES
HIGH,HIGH,Invalid
WINTER STORM HIGH WINDS,Winter Storm,YES
WINTER STORMS,Winter Storm,YES
MUDSLIDES,Mudslide,YES
RAINSTORM,Heavy Rain,YES
SEVERE THUNDERSTORM,Thunderstorm Wind,YES
SEVERE THUNDERSTORMS,Thunderstorm Wind,YES
SEVERE THUNDERSTORM WINDS,Thunderstorm Wind,YES
THUNDERSTORMS WINDS,Thunderstorm Wind,YES
FLOOD/FLASH FLOOD,Flash Flood,YES
FLOOD/RAIN/WINDS,Flood,YES
THUNDERSTORMS,Thunderstorm Wind,YES
FLASH FLOOD WINDS,Flash Flood,YES
WINDS,Strong Wind,YES
FUNNEL CLOUD,Funnel Cloud,YES
HIGH WIND DAMAGE,High Wind,YES
STRONG WIND,High Wind,YES
HEAVY SNOWPACK,Heavy Snow,YES
FLASH FLOOD/,Flash Flood,YES
HEAVY SURF,High Surf,YES
DRY MIRCOBURST WINDS,Dry Microburst Wind,YES
DRY MICROBURST,Dry Microburst Wind,YES
URBAN FLOOD,Flood,YES
THUNDERSTORM WINDSS,Thunderstorm Wind,YES
MICROBURST WINDS,Dry Microburst Wind,YES
HEAT WAVE,Excessive Heat,YES
UNSEASONABLY WARM,Heat,YES
COASTAL FLOODING,Coastal Flood,YES
STRONG WINDS,Strong Wind,YES
BLIZZARD,Blizzard,YES
WATERSPOUT/TORNADO,Waterspout,YES
WATERSPOUT TORNADO,Waterspout,YES
STORM SURGE,Storm Surge/Tide,YES
URBAN/SMALL STREAM FLOOD,Flood,YES
WATERSPOUT-,Waterspout,YES
"TORNADOES, TSTM WIND, HAIL",Tornado,YES
TROPICAL STORM ALBERTO,Tropical Storm,YES
TROPICAL STORM,Tropical Storm,YES
TROPICAL STORM GORDON,Tropical Storm,YES
TROPICAL STORM JERRY,Tropical Storm,YES
LIGHTNING THUNDERSTORM WINDS,Lightining,YES
URBAN FLOODING,Flood,YES
MINOR FLOODING,Flood,YES
WATERSPOUT-TORNADO,Waterspout,YES
LIGHTNING INJURY,Lightining,YES
LIGHTNING AND THUNDERSTORM WIN,Lightining,YES
FLASH FLOODS,Flash Flood,YES
THUNDERSTORM WINDS53,Thunderstorm Wind,YES
WILDFIRE,Wildfire,YES
DAMAGING FREEZE,Frost/Freeze,YES
THUNDERSTORM WINDS 13,Thunderstorm Wind,YES
HURRICANE,Hurricane (Typhoon),YES
SNOW,Heavy Snow,YES
LIGNTNING,Lightining,YES
FROST,Frost/Freeze,YES
FREEZING RAIN/SNOW,Sleet,YES
